127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/text.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:27 +0100] "GET /favicon.ico HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET / HTTP/1.1" 200 853
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/text.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:36:54 +0100] "GET /test.html HTTP/1.1" 200 709
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/jquery/jquery.js HTTP/1.1" 200 29849
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.css HTTP/1.1" 200 7851
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 9791
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 64090
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /stylesheets/bird-a.css HTTP/1.1" 200 29581
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/image2.gif HTTP/1.1" 304 180
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:41:41 +0100] "GET / HTTP/1.1" 200 853
127.0.0.1 - - [22/Nov/2014:23:41:41 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:41 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:41 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:41:41 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:41 +0100] "GET /icons/text.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:42 +0100] "GET /favicon.ico HTTP/1.1" 200 1449
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET /icons/blank.gif HTTP/1.1" 200 430
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET /icons/image2.gif HTTP/1.1" 200 593
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET /icons/unknown.gif HTTP/1.1" 200 528
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET /icons/folder.gif HTTP/1.1" 200 508
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET /icons/text.gif HTTP/1.1" 200 512
127.0.0.1 - - [22/Nov/2014:23:42:15 +0100] "GET /favicon.ico HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:42:52 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:42:52 +0100] "GET /icons/blank.gif HTTP/1.1" 200 431
127.0.0.1 - - [22/Nov/2014:23:42:52 +0100] "GET /icons/image2.gif HTTP/1.1" 200 593
127.0.0.1 - - [22/Nov/2014:23:42:52 +0100] "GET /icons/unknown.gif HTTP/1.1" 200 528
127.0.0.1 - - [22/Nov/2014:23:42:52 +0100] "GET /icons/folder.gif HTTP/1.1" 200 508
127.0.0.1 - - [22/Nov/2014:23:42:52 +0100] "GET /icons/text.gif HTTP/1.1" 200 512
127.0.0.1 - - [22/Nov/2014:23:42:59 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:43:06 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:43:06 +0100] "GET /icons/blank.gif HTTP/1.1" 200 431
127.0.0.1 - - [22/Nov/2014:23:43:06 +0100] "GET /icons/image2.gif HTTP/1.1" 200 593
127.0.0.1 - - [22/Nov/2014:23:43:06 +0100] "GET /icons/unknown.gif HTTP/1.1" 200 528
127.0.0.1 - - [22/Nov/2014:23:43:06 +0100] "GET /icons/folder.gif HTTP/1.1" 200 508
127.0.0.1 - - [22/Nov/2014:23:43:06 +0100] "GET /icons/text.gif HTTP/1.1" 200 512
127.0.0.1 - - [22/Nov/2014:23:43:09 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:43:09 +0100] "GET /icons/blank.gif HTTP/1.1" 200 431
127.0.0.1 - - [22/Nov/2014:23:43:09 +0100] "GET /icons/image2.gif HTTP/1.1" 200 593
127.0.0.1 - - [22/Nov/2014:23:43:09 +0100] "GET /icons/unknown.gif HTTP/1.1" 200 528
127.0.0.1 - - [22/Nov/2014:23:43:09 +0100] "GET /icons/folder.gif HTTP/1.1" 200 508
127.0.0.1 - - [22/Nov/2014:23:43:09 +0100] "GET /icons/text.gif HTTP/1.1" 200 512
127.0.0.1 - - [22/Nov/2014:23:43:20 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:43:22 +0100] "GET /2favicon.ico HTTP/1.1" 200 2507
127.0.0.1 - - [22/Nov/2014:23:43:32 +0100] "GET /config.rb HTTP/1.1" 200 1221
127.0.0.1 - - [22/Nov/2014:23:43:51 +0100] "GET / HTTP/1.1" 200 857
127.0.0.1 - - [22/Nov/2014:23:43:51 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:43:51 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
